segment,file,start_sec,duration_sec,fake_probability,authenticity_score,f0_std,f0_range_semitones,f0_jitter,vibrato_rate_mean,vibrato_rate_std,vibrato_depth_mean,vibrato_depth_std,periodicity_score,micro_variation,vri_score,hnr_mean,hnr_std,hnr_low_ratio,long_note_stability
13,external_ai_bv13z4y1b7pl_013.wav,96,10.0,0.43333333333333335,0.5666666666666667,33.11547587568943,10.499999999999991,0.01326909504941407,5.292707360722066,1.4878906101361888,139.99999999999991,173.3661268918711,0.07591582901040046,57.21017339930331,0.21857463214620765,18.586344184357433,7.734609435919777,0.15281899109792285,0.26778206696364293
14,external_ai_bv13z4y1b7pl_014.wav,104,10.0,0.24666666666666667,0.7533333333333333,50.90240298138537,11.899999999999984,0.029032165977774593,5.355994635508524,1.6430315296750384,288.2142857142856,411.0009868899218,0.06316356908435014,202.0888866096392,0.15388921753946028,18.319338246011725,8.243808354727546,0.1587708066581306,0.2821314026991142
15,external_ai_bv13z4y1b7pl_015.wav,112,10.0,0.30333333333333334,0.6966666666666667,43.29112414424553,11.400000000000004,0.013671966434051224,5.74637593132491,1.487339644594891,126.12500000000023,163.44336748549938,0.060419388680095124,78.78729340822821,0.20516823877056883,16.462744487184853,7.819666025479394,0.19921363040629095,0.28004382885986817
16,external_ai_bv13z4y1b7pl_016.wav,120,10.0,0.043333333333333335,0.9566666666666667,50.96832568225025,11.800000000000002,0.01847909549616343,5.434910546139361,1.5993623543662348,186.59340659340717,290.5932536680886,0.06178005900669211,132.26898541529542,0.17028698487594343,16.867340546491903,9.231827775807602,0.20704225352112676,0.23498597212572817
17,external_ai_bv13z4y1b7pl_017.wav,128,10.0,0.20666666666666667,0.7933333333333333,45.11477817298878,11.80000000000001,0.02463554373672237,5.553135888501743,1.5787844280632732,222.53731343283582,316.6821622562437,0.10663659738040404,150.88969496976662,0.17832712323021874,13.851279512743165,7.717015223878647,0.27787307032590053,0.14757692318812116
18,external_ai_bv13z4y1b7pl_018.wav,136,10.0,0.11666666666666667,0.8833333333333333,50.39871477790815,11.900000000000006,0.018459993267042167,5.5080191798941796,1.5530299125003268,184.38202247191023,293.54078274999983,0.07110406367486644,128.10592708374466,0.17514623885868494,17.004773945422308,8.060340939345558,0.20294117647058824,0.17823551130683918
19,external_ai_bv13z4y1b7pl_019.wav,144,10.0,0.5633333333333334,0.43666666666666665,31.605609873178572,9.300000000000006,0.00992618275133743,6.1049107142857135,1.4769969950004194,95.85365853658548,109.94401257571613,0.08822065159459754,37.795485490484616,0.2575580260007643,19.888970307572222,7.119453934653618,0.0966183574879227,0.30263855241319365
20,external_ai_bv13z4y1b7pl_020.wav,152,10.0,0.48,0.52,39.0325319592039,11.800000000000002,0.014871765343065396,5.937010954616589,1.5204063726764685,128.96907216494841,199.31058773601367,0.0564787607183802,92.6228483046231,0.19126799985053544,19.19509727838158,7.250693111788998,0.12,0.2025130181410369
21,external_ai_bv13z4y1b7pl_021.wav,160,10.0,0.2733333333333333,0.7266666666666667,54.23089727258407,11.900000000000006,0.033964880066510744,5.431030919312168,1.4330272902429122,261.6216216216218,398.52778745069133,0.08755234091637286,225.2905168084938,0.16792587837283293,18.298556208690247,8.431844192558046,0.16206896551724137,0.2198974674436188
22,external_ai_bv13z4y1b7pl_022.wav,168,10.0,0.7466666666666667,0.2533333333333333,69.50490774089789,11.700000000000006,0.014294811475672449,5.6447129857690195,1.699508620552352,157.97468354430396,250.55068335308388,0.06516331825276286,93.83625024312204,0.1798138333304558,14.668331173350673,6.316777631478752,0.1984126984126984,0.24374296349962365
23,external_ai_bv13z4y1b7pl_023.wav,176,10.0,0.69,0.31000000000000005,67.21169872521678,11.600000000000001,0.012727797471171394,5.728067862165964,1.4448074089840401,124.43298969072177,237.6385936242713,0.06779029395159093,102.33305401298112,0.18974080243113994,20.358872218120126,6.809694353323414,0.07754010695187166,0.25688056171192947
24,external_ai_bv13z4y1b7pl_024.wav,184,10.0,0.51,0.49,58.001163124606194,11.79999999999999,0.015772486422656197,5.645651117589893,1.6486799275261428,160.61728395061738,243.86975717931313,0.06764142205915077,105.87604784575241,0.17970505366768036,12.415090231089279,6.915842862845083,0.38035961272475793,0.3005080997392685
25,external_ai_bv13z4y1b7pl_025.wav,192,10.0,0.47,0.53,58.55327833106217,11.700000000000008,0.01771508059046677,5.690505368814192,1.482643994069992,197.10526315789465,268.21935146184927,0.07738784577149074,114.79144741660846,0.1845504903312214,13.37400501480331,7.841491836695618,0.33482142857142855,0.3459449200023223
